date,location,wind_direction
17/6/20,Billa Billa, E
18/6/20,Billa Billa, E
19/6/20,Billa Billa, E
20/6/20,Billa Billa, NE
21/6/20,Billa Billa, NW
22/6/20,Billa Billa, NW
23/6/20,Billa Billa, S
24/6/20,Billa Billa, S
25/6/20,Billa Billa, ESE
26/6/20,Billa Billa, S
27/6/20,Billa Billa, NE
28/6/20,Billa Billa, ENE
29/6/20,Billa Billa, E
30/6/20,Billa Billa, SE
1/7/20,Billa Billa, ENE
2/7/20,Billa Billa, NE
3/7/20,Billa Billa, WSW
4/7/20,Billa Billa, NNW
5/7/20,Billa Billa, S
6/7/20,Billa Billa, SE
7/7/20,Billa Billa, ESE
8/7/20,Billa Billa, E
9/7/20,Billa Billa, E
10/7/20,Billa Billa, ENE
11/7/20,Billa Billa, N
12/7/20,Billa Billa, WSW
13/7/20,Billa Billa, NNW
14/7/20,Billa Billa, NE
15/7/20,Billa Billa, S
16/7/20,Billa Billa, SSW
17/7/20,Billa Billa, ENE
18/7/20,Billa Billa, WSW
19/7/20,Billa Billa, NNE
20/7/20,Billa Billa, WSW
21/7/20,Billa Billa, SSW
22/7/20,Billa Billa, S
23/7/20,Billa Billa, N
24/7/20,Billa Billa, E
25/7/20,Billa Billa, ESE
26/7/20,Billa Billa, WNW
27/7/20,Billa Billa, NW
28/7/20,Billa Billa, SW
29/7/20,Billa Billa, WSW
30/7/20,Billa Billa, E
31/7/20,Billa Billa, E
1/8/20,Billa Billa, ESE
2/8/20,Billa Billa, SSE
3/8/20,Billa Billa, NE
4/8/20,Billa Billa, NNE
5/8/20,Billa Billa, SSW
6/8/20,Billa Billa, ENE
7/8/20,Billa Billa, NE
8/8/20,Billa Billa, S
9/8/20,Billa Billa, WNW
10/8/20,Billa Billa, WNW
11/8/20,Billa Billa, SE
12/8/20,Billa Billa, NNE
13/8/20,Billa Billa, E
14/8/20,Billa Billa, NNE
15/8/20,Billa Billa, NW
16/8/20,Billa Billa, S
17/8/20,Billa Billa, S
18/8/20,Billa Billa, NNE
19/8/20,Billa Billa, WNW
20/8/20,Billa Billa, S
21/8/20,Billa Billa, S
22/8/20,Billa Billa, WNW
23/8/20,Billa Billa, S
24/8/20,Billa Billa, S
25/8/20,Billa Billa, SSW
26/8/20,Billa Billa, NE
27/8/20,Billa Billa, NW
28/8/20,Billa Billa, NE
29/8/20,Billa Billa, ENE
30/8/20,Billa Billa, NE
31/8/20,Billa Billa, NW
1/9/20,Billa Billa, ENE
2/9/20,Billa Billa, ENE
3/9/20,Billa Billa, NE
4/9/20,Billa Billa, NNE
5/9/20,Billa Billa, SW
6/9/20,Billa Billa, ENE
7/9/20,Billa Billa, ENE
8/9/20,Billa Billa, ESE
9/9/20,Billa Billa, ENE
10/9/20,Billa Billa, W
11/9/20,Billa Billa, E
12/9/20,Billa Billa, ENE
13/9/20,Billa Billa, NNE
14/9/20,Billa Billa, E
15/9/20,Billa Billa, ENE
16/9/20,Billa Billa, ENE
17/9/20,Billa Billa, ENE
18/9/20,Billa Billa, ENE
19/9/20,Billa Billa, ENE
20/9/20,Billa Billa, NE
21/9/20,Billa Billa, N
22/9/20,Billa Billa, S
23/9/20,Billa Billa, SW
24/9/20,Billa Billa, NNE
25/9/20,Billa Billa, SW
26/9/20,Billa Billa, WSW
27/9/20,Billa Billa, SE
28/9/20,Billa Billa, ENE
29/9/20,Billa Billa, ENE
30/9/20,Billa Billa, NNE
1/10/20,Billa Billa, NNW
2/10/20,Billa Billa, ENE
3/10/20,Billa Billa, NE
4/10/20,Billa Billa, ENE
5/10/20,Billa Billa, NE
6/10/20,Billa Billa, ENE
7/10/20,Billa Billa, NE
8/10/20,Billa Billa, SW
9/10/20,Billa Billa, SSE
10/10/20,Billa Billa, NNE
11/10/20,Billa Billa, ENE
12/10/20,Billa Billa, E
13/10/20,Billa Billa, E
14/10/20,Billa Billa, ESE
15/10/20,Billa Billa, ENE
16/10/20,Billa Billa, ENE
17/10/20,Billa Billa, NE
18/10/20,Billa Billa, ENE
19/10/20,Billa Billa, SW
20/10/20,Billa Billa, ENE
21/10/20,Billa Billa, ENE
22/10/20,Billa Billa, ENE
23/10/20,Billa Billa, NW
24/10/20,Billa Billa, NNE
25/10/20,Billa Billa, SW
26/10/20,Billa Billa, N
27/10/20,Billa Billa, E
15/7/20,Tosari,242.2
16/7/20,Tosari,247.6
17/7/20,Tosari,199.5
18/7/20,Tosari,151
19/7/20,Tosari,198.3
20/7/20,Tosari,192.1
21/7/20,Tosari,134.2
22/7/20,Tosari,128.1
23/7/20,Tosari,133.3
24/7/20,Tosari,128.8
25/7/20,Tosari,145.4
26/7/20,Tosari,241.4
27/7/20,Tosari,285.7
28/7/20,Tosari,264
29/7/20,Tosari,242.4
30/7/20,Tosari,200.8
31/7/20,Tosari,130.5
1/8/20,Tosari,140.9
2/8/20,Tosari,147.4
3/8/20,Tosari,176.9
4/8/20,Tosari,201.6
5/8/20,Tosari,197.9
6/8/20,Tosari,141.4
7/8/20,Tosari,120.1
8/8/20,Tosari,234.1
9/8/20,Tosari,264.8
10/8/20,Tosari,256.7
11/8/20,Tosari,179.2
12/8/20,Tosari,131.1
13/8/20,Tosari,210.7
14/8/20,Tosari,149.3
15/8/20,Tosari,248.7
16/8/20,Tosari,261.7
17/8/20,Tosari,242.9
18/8/20,Tosari,143.9
19/8/20,Tosari,300.6
20/8/20,Tosari,275.8
21/8/20,Tosari,254.8
22/8/20,Tosari,297.2
23/8/20,Tosari,256.4
24/8/20,Tosari,251.8
25/8/20,Tosari,199.7
26/8/20,Tosari,122.6
27/8/20,Tosari,151.6
28/8/20,Tosari,195.4
29/8/20,Tosari,104.3
30/8/20,Tosari,94.8
31/8/20,Tosari,204.8
1/9/20,Tosari,152.6
2/9/20,Tosari,96.5
3/9/20,Tosari,108.4
4/9/20,Tosari,88.2
5/9/20,Tosari,193
6/9/20,Tosari,134.5
7/9/20,Tosari,105.1
8/9/20,Tosari,120
9/9/20,Tosari,127.3
10/9/20,Tosari,142.5
11/9/20,Tosari,137.1
12/9/20,Tosari,115.4
13/9/20,Tosari,130.1
14/9/20,Tosari,155.3
15/9/20,Tosari,108.8
16/9/20,Tosari,104.1
17/9/20,Tosari,138.2
18/9/20,Tosari,103
19/9/20,Tosari,79.9
20/9/20,Tosari,89.9
21/9/20,Tosari,111
22/9/20,Tosari,225.8
23/9/20,Tosari,261.3
24/9/20,Tosari,219.3
25/9/20,Tosari,230.1
26/9/20,Tosari,239.8
27/9/20,Tosari,194.4
28/9/20,Tosari,115.3
29/9/20,Tosari,97.5
30/9/20,Tosari,99.8
1/10/20,Tosari,174.6
2/10/20,Tosari,167
3/10/20,Tosari,90.1
4/10/20,Tosari,78.5
5/10/20,Tosari,114.2
6/10/20,Tosari,86.6
7/10/20,Tosari,89.3
8/10/20,Tosari,100
9/10/20,Tosari,234
10/10/20,Tosari,186.5
11/10/20,Tosari,94.2
12/10/20,Tosari,95.3
13/10/20,Tosari,129.6
14/10/20,Tosari,133.2
15/10/20,Tosari,98.8
16/10/20,Tosari,147.6
17/10/20,Tosari,64.5
18/10/20,Tosari,227.3
19/10/20,Tosari,217
20/10/20,Tosari,101.9
21/10/20,Tosari,103.4
22/10/20,Tosari,87.4
23/10/20,Tosari,70.3
24/10/20,Tosari,90.6
25/10/20,Tosari,210.3
26/10/20,Tosari,210.6
27/10/20,Tosari,115.4
28/10/20,Tosari,97.3
29/10/20,Tosari,218.1
30/10/20,Tosari,102.4
31/10/20,Tosari,238.9
1/11/20,Tosari,224.8
2/11/20,Tosari,135.6
3/11/20,Tosari,127.8
4/11/20,Tosari,148.8
5/11/20,Tosari,217.6
