date,location,wind_speed
17/6/20 0:00,Billa Billa ,0.777777778
18/6/20 0:00,Billa Billa ,2.472222222
19/6/20 0:00,Billa Billa ,2.138888889
20/6/20 0:00,Billa Billa ,1.666666667
21/6/20 0:00,Billa Billa ,2.722222222
22/6/20 0:00,Billa Billa ,2.055555556
23/6/20 0:00,Billa Billa ,2.138888889
24/6/20 0:00,Billa Billa ,1.388888889
25/6/20 0:00,Billa Billa ,1.527777778
26/6/20 0:00,Billa Billa ,0.861111111
27/6/20 0:00,Billa Billa ,0.666666667
28/6/20 0:00,Billa Billa ,0.777777778
29/6/20 0:00,Billa Billa ,1.055555556
30/6/20 0:00,Billa Billa ,0.75
1/7/20 0:00,Billa Billa ,1.305555556
2/7/20 0:00,Billa Billa ,2.083333333
3/7/20 0:00,Billa Billa ,2.416666667
4/7/20 0:00,Billa Billa ,2.194444444
5/7/20 0:00,Billa Billa ,1.166666667
6/7/20 0:00,Billa Billa ,0.583333333
7/7/20 0:00,Billa Billa ,0.583333333
8/7/20 0:00,Billa Billa ,1
9/7/20 0:00,Billa Billa ,2.333333333
10/7/20 0:00,Billa Billa ,2.666666667
11/7/20 0:00,Billa Billa ,1.944444444
12/7/20 0:00,Billa Billa ,1.305555556
13/7/20 0:00,Billa Billa ,1.861111111
14/7/20 0:00,Billa Billa ,2.138888889
15/7/20 0:00,Billa Billa ,1.666666667
16/7/20 0:00,Billa Billa ,2.666666667
17/7/20 0:00,Billa Billa ,1.083333333
18/7/20 0:00,Billa Billa ,0.666666667
19/7/20 0:00,Billa Billa ,1.638888889
20/7/20 0:00,Billa Billa ,2.111111111
21/7/20 0:00,Billa Billa ,0.527777778
22/7/20 0:00,Billa Billa ,0.805555556
23/7/20 0:00,Billa Billa ,0.805555556
24/7/20 0:00,Billa Billa ,1.972222222
25/7/20 0:00,Billa Billa ,1.388888889
26/7/20 0:00,Billa Billa ,2.611111111
27/7/20 0:00,Billa Billa ,4.333333333
28/7/20 0:00,Billa Billa ,1.722222222
29/7/20 0:00,Billa Billa ,1.694444444
30/7/20 0:00,Billa Billa ,1.277777778
31/7/20 0:00,Billa Billa ,0.916666667
1/8/20 0:00,Billa Billa ,0.611111111
2/8/20 0:00,Billa Billa ,0.722222222
3/8/20 0:00,Billa Billa ,1.305555556
4/8/20 0:00,Billa Billa ,1.777777778
5/8/20 0:00,Billa Billa ,1.138888889
6/8/20 0:00,Billa Billa ,1.194444444
7/8/20 0:00,Billa Billa ,4.166666667
8/8/20 0:00,Billa Billa ,2.138888889
9/8/20 0:00,Billa Billa ,2.638888889
10/8/20 0:00,Billa Billa ,2.944444444
11/8/20 0:00,Billa Billa ,0.611111111
12/8/20 0:00,Billa Billa ,2.416666667
13/8/20 0:00,Billa Billa ,1.75
14/8/20 0:00,Billa Billa ,2.472222222
15/8/20 0:00,Billa Billa ,2.083333333
16/8/20 0:00,Billa Billa ,1.527777778
17/8/20 0:00,Billa Billa ,1.083333333
18/8/20 0:00,Billa Billa ,1.055555556
19/8/20 0:00,Billa Billa ,3.25
20/8/20 0:00,Billa Billa ,3.583333333
21/8/20 0:00,Billa Billa ,2.583333333
22/8/20 0:00,Billa Billa ,3.888888889
23/8/20 0:00,Billa Billa ,2.555555556
24/8/20 0:00,Billa Billa ,1.305555556
25/8/20 0:00,Billa Billa ,1.5
26/8/20 0:00,Billa Billa ,0.666666667
27/8/20 0:00,Billa Billa ,0.916666667
28/8/20 0:00,Billa Billa ,1.444444444
29/8/20 0:00,Billa Billa ,1.694444444
30/8/20 0:00,Billa Billa ,1.388888889
31/8/20 0:00,Billa Billa ,1.972222222
1/9/20 0:00,Billa Billa ,1.111111111
2/9/20 0:00,Billa Billa ,2.361111111
3/9/20 0:00,Billa Billa ,2.055555556
4/9/20 0:00,Billa Billa ,2.25
5/9/20 0:00,Billa Billa ,2.805555556
6/9/20 0:00,Billa Billa ,1.777777778
7/9/20 0:00,Billa Billa ,1.777777778
8/9/20 0:00,Billa Billa ,1.138888889
9/9/20 0:00,Billa Billa ,1.055555556
10/9/20 0:00,Billa Billa ,2.333333333
11/9/20 0:00,Billa Billa ,2.5
12/9/20 0:00,Billa Billa ,2.444444444
13/9/20 0:00,Billa Billa ,1.361111111
14/9/20 0:00,Billa Billa ,1.583333333
15/9/20 0:00,Billa Billa ,1.916666667
16/9/20 0:00,Billa Billa ,1.666666667
17/9/20 0:00,Billa Billa ,1.75
18/9/20 0:00,Billa Billa ,2.972222222
19/9/20 0:00,Billa Billa ,3.805555556
20/9/20 0:00,Billa Billa ,2.888888889
21/9/20 0:00,Billa Billa ,3.194444444
22/9/20 0:00,Billa Billa ,2.083333333
23/9/20 0:00,Billa Billa ,2.111111111
24/9/20 0:00,Billa Billa ,1.305555556
25/9/20 0:00,Billa Billa ,3.5
26/9/20 0:00,Billa Billa ,2.5
27/9/20 0:00,Billa Billa ,1.388888889
28/9/20 0:00,Billa Billa ,1.361111111
29/9/20 0:00,Billa Billa ,2.444444444
30/9/20 0:00,Billa Billa ,2.472222222
1/10/20 0:00,Billa Billa ,2.638888889
2/10/20 0:00,Billa Billa ,1.194444444
3/10/20 0:00,Billa Billa ,2.694444444
4/10/20 0:00,Billa Billa ,2.861111111
5/10/20 0:00,Billa Billa ,2.416666667
6/10/20 0:00,Billa Billa ,2.138888889
7/10/20 0:00,Billa Billa ,2.527777778
8/10/20 0:00,Billa Billa ,2.916666667
9/10/20 0:00,Billa Billa ,2.166666667
10/10/20 0:00,Billa Billa ,1.333333333
11/10/20 0:00,Billa Billa ,1.5
12/10/20 0:00,Billa Billa ,3.083333333
13/10/20 0:00,Billa Billa ,1.527777778
14/10/20 0:00,Billa Billa ,2.027777778
15/10/20 0:00,Billa Billa ,1.666666667
16/10/20 0:00,Billa Billa ,1.722222222
17/10/20 0:00,Billa Billa ,2.861111111
18/10/20 0:00,Billa Billa ,3.527777778
19/10/20 0:00,Billa Billa ,1.222222222
20/10/20 0:00,Billa Billa ,2.166666667
21/10/20 0:00,Billa Billa ,4.361111111
22/10/20 0:00,Billa Billa ,2.638888889
23/10/20 0:00,Billa Billa ,4
24/10/20 0:00,Billa Billa ,3.416666667
25/10/20 0:00,Billa Billa ,2.916666667
26/10/20 0:00,Billa Billa ,1.527777778
27/10/20 0:00,Billa Billa ,2.361111111
15/7/20 0:00,Tosari,4.277777778
16/7/20 0:00,Tosari,3.861111111
17/7/20 0:00,Tosari,1.777777778
18/7/20 0:00,Tosari,1.361111111
19/7/20 0:00,Tosari,1.5
20/7/20 0:00,Tosari,2.861111111
21/7/20 0:00,Tosari,2.25
22/7/20 0:00,Tosari,3.25
23/7/20 0:00,Tosari,2.5
24/7/20 0:00,Tosari,3.666666667
25/7/20 0:00,Tosari,3.194444444
26/7/20 0:00,Tosari,4.027777778
27/7/20 0:00,Tosari,4.972222222
28/7/20 0:00,Tosari,3
29/7/20 0:00,Tosari,3.111111111
30/7/20 0:00,Tosari,1.722222222
31/7/20 0:00,Tosari,1.777777778
1/8/20 0:00,Tosari,2.055555556
2/8/20 0:00,Tosari,1.527777778
3/8/20 0:00,Tosari,1.194444444
4/8/20 0:00,Tosari,1.805555556
5/8/20 0:00,Tosari,2.472222222
6/8/20 0:00,Tosari,1.75
7/8/20 0:00,Tosari,4.972222222
8/8/20 0:00,Tosari,2.722222222
9/8/20 0:00,Tosari,3.888888889
10/8/20 0:00,Tosari,4.805555556
11/8/20 0:00,Tosari,1.388888889
12/8/20 0:00,Tosari,2.416666667
13/8/20 0:00,Tosari,1.805555556
14/8/20 0:00,Tosari,4.027777778
15/8/20 0:00,Tosari,3.472222222
16/8/20 0:00,Tosari,3.083333333
17/8/20 0:00,Tosari,2.861111111
18/8/20 0:00,Tosari,1.388888889
19/8/20 0:00,Tosari,4.416666667
20/8/20 0:00,Tosari,4.722222222
21/8/20 0:00,Tosari,3.138888889
22/8/20 0:00,Tosari,2.055555556
23/8/20 0:00,Tosari,5.111111111
24/8/20 0:00,Tosari,3.138888889
